ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
SPAR PREMIUM MLETA PRAŽENA KAVA, 100% ARABICA INDIA|100% kava arabica iz indije.|250g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SPAR PREMIUM MLETA PRAŽENA KAVA, 100% ARABICA BRAZIL|100% kava arabica iz brazilije.|250g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SPAR PREMIUM MLETA PRAŽENA KAVA, 100% ARABICA UGANDA|mleta pražena kava iz ugande.|250g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
BIO PARADIŽNIKOVA ŽAR OMAKA IZ EKOLOŠKE PRIDELAVE, PASTERIZIRANA|voda, enojni paradižnikov koncentrat 27%*, surovi trsni sladkor*, alkoholni kis*, koruzni škrob*, nejodirana kamena sol, sirup karameliziranega sladkorja*, poper*, česen*, GORČIČNA SEMENA*, dimljena sol (sol, dim), začimbe*, gostilo: guar gumi, *iz ekološke pridelave (kmetijstvo eu/izven eu).|0,25l|143,00|0,50 g|0,10 g|33,00 g|30,00 g|1,60 g|1,10 g|2,80 g
BIO PARADIŽNIKOVA OMAKA S PAPRIKO IN ČILIJEM IZ EKOLOŠKE PRIDELAVE, PASTERIZIRANA|enojni paradižnikov koncentrat* 45%*, surovi trsni sladkor*, paprika 11%*, paradižnik*, alkoholni kis*, čebula*, koruzni škrob*, nejodirana kamena sol, jabolčni kis*, čili* 0,3%, gostilo: guar gumi*, začimbe*, *iz ekološke pridelave.|0,25l|97,00|0,50 g|0,10 g|21,00 g|18,00 g|1,70 g|1,70 g|2,30 g
Zakuska pekoča iz pečene paprike s česnom in peteršiljem, marinirana zelenjavna priloga.|pečena rdeča paprika 94%, sončnično olje, sladkor, kis, sol, peteršilj <1%, česen <1%, začimbe.|290g|72,00|2,60 g|0,10 g|9,10 g|1,20 g|0,0 g|2,70 g|1,80 g
DANA LIMONADA CLASSIC - negazirana brezalkoholna pijača s sokom limone. Sadni delež: min. 7%.|voda 87,00 %, sladkor 4,90 %, sok limone 7,00 %, limonina pulpa 0,50 %, naravne arome 0,02 %, askorbinska kislina 0,02 %.|1l|49,00|0,00 g|0,00 g|4,90 g|4,70 g|0,0 g|0,00 g|0,01 g
HRUSTLJAVI VAFELJ S ČOKOLADNIM IN KAKVOVIM POLNILOM|PŠENIČNA MOKA, kokosovo olje, glukozni sirup, manj masten kakav 9,00 %, sladkor, dekstroza, SIROTKA V PRAHU, SOJINA MOKA, čokolada, POSNETO MLEKO V PRAHU, EKSTRAKT JEČMENOVEGA SLADA, sredstvo za vzhajanje, LEŠNIKI, EMULGATOR SOJIN LECITIN, sol, stroki burbonske vanilije, začimbe.|175g|509,00|26,00 g|22,00 g|57,00 g|28,00 g|0,0 g|7,90 g|0,38 g
SOK ANANAS, POMARANČA IN MARAKUJA, JUICE BAR, RAUCH, 0,33L|99,9% sok iz več vrst sadja (grozdni sok, 30% ananasov sok, 20% pomarančni sok, 5% sok marakuj), vitamin c, izvleček žafranike 100,00 %.|0,33l|59,00|0,50 g|0,10 g|12,80 g|12,70 g|0,0 g|0,60 g|0,01 g
Žitarice za zajtrk; Mešanica instant žitnih kosmičev z belo čokolado, ovsenih kosmičev, koruznih kosmičev ter žitnih ekstrudatov v obliki riža.|INSTANT ŽITNI KOSMIČI Z BELO ČOKOLADO 58% (PŠENIČNI ZDROB 75%, bela čokolada v prahu 15% (sladkor, kakavovo maslo, POLNOMASTNO MLEKO V PRAHU, POSNETO MLEKO V PRAHU), sladkor, vitamini (l-askorbinska kislina, nikotinamid, kalcijev d-pantotenat, piridoksin hidroklorid, riboflavin, tiamin hidroklorid, folna kislina, cianokobalamin)), OVSENI KOSMIČI 14,00 %, koruzni kosmiči 14% (koruzni zdrob 94%, sladkor, jedilna sol, JEČMENOV SLADNI EKSTRAKT), ŽITNI EKSTRUDATI V OBLIKI RIŽA 14% (ŽITA 73% (PŠENIČNA POLNOZRNATA MOKA 62%, PŠENIČNA MOKA, koruzni zdrob, OVSENA MOKA)), sladkor, aroma, cimet.|400g|400,00|5,00 g|2,00 g|77,00 g|16,00 g|3,50 g|10,00 g|0,40 g
Žitno mlečna kašica za otroke od dopolnjenega 4. meseca starosti|OVSENA MOKA 32,00 %, DELNO DEMINERALIZIRANA SIROTKA V PRAHU, POLNOMASTNO MLEKO V PRAHU 26,00 %, maltodekstrin, slivova kaša 4,80 %, POSNETO MLEKO V PRAHU 2,60 %, kalcijev laktat, vitamini (retinil acetat, tiamin mononitrat, riboflavin, piridoksin hidroklorid, l-askorbinska kislina, dl-alfa tokoferol acetat, holekalciferol, folna kislina, nikotinamid).|200g|406,00|7,00 g|4,50 g|70,00 g|32,00 g|5,50 g|13,00 g|0,40 g
Osvežilna gazirana brezalkoholna pijača z okusom kole in limete, s sladili, brez energijske vrednosti, brez sladkorjev.|voda, ogljikov dioksid, barvilo: E150d, kislini: citronska kislina in fosforjeva (v) kislina, aroma: kofein in naravna aroma, sladili: aspartam in acesulfam k, sredstvo za uravnavanje kislosti: natrijevi citrati.|0,33l|1,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,03 g
Instant oslajen manj masten kakavov prah z zmanjšano vsebnostjo sladkorja. Vir prehranske vlaknine.|sladkor, manj masten kakavov prah 32,00 %, inulin, EMULGATOR: LECITINI (SOJA), sol, naravna aroma.|400g|327,00|3,40 g|2,00 g|53,80 g|50,80 g|26,20 g|7,20 g|0,18 g
Paradižnikova omaka z baziliko|sesekljana paradižnikova sredica 81,00 %, paradižnikov koncentrat 12,00 %, olivno olje, sladkor, bazilika 0,90 %, čebula, ZELENA, sol, naravne arome.|400g|60,00|3,20 g|0,50 g|5,60 g|5,40 g|0,0 g|1,70 g|0,60 g
Paradižnikova omaka s sirom Parigiano Reggiano|sesekljana paradižnikova sredica 80,00 %, paradižnikov koncentrat 7,00 %, korenje, SIR PARMIGIANO REGGIANO ZOP* (MLEKO, SOL, SIRILO) 4,00 %, olivno olje, šalotka, sol, sladkor, naravne arome, črni poper.|400g|66,00|3,60 g|1,20 g|5,20 g|5,00 g|0,0 g|2,60 g|0,80 g
Paradižnikova omaka z zelenjavo pečeno na žaru|sesekljana paradižnikova sredica 69,00 %, paradižnikov koncentrat 8,00 %, pečene bučke 6,00 %, pečeni jajčevci 4,00 %, pečena rumena paprika 4,00 %, olivno olje, sladkor, sol, naravne arome, origano, česen, poper.|400g|47,00|1,90 g|0,30 g|5,00 g|4,80 g|0,0 g|1,90 g|0,55 g
/|REKONSTITUIRANO POSNETO MLEKO, SMETANA, sladkor, pomarančni sok iz zgoščenega soka 3,80 %, glukozni sirup, kakavova masa, voda, kakavovo maslo, POSNETO MLEKO V PRAHU, SIROTKA V PRAHU, sirup iz invertnega sladkorja, MLETI MANDLJI 0,90 %, pomarančni olupki 0,80 %, liofilizirani pomarančni koščki (zgoščeni pomarančni sok, pomarančne celice) 0,70 %, manj masten kakavov prah, ANHIDRIDNA MLEČNA MAŠČOBA, kokosovo olje, emulgatorji (mono- in digliceridi maščobnih kislin, lecitini (sončnica), poliglicerol poliricinoleat), stabilizatorji (guar gumi, gumi iz zrn rožičevca), gostilo (pektini), modificirani škrob, sredstvo za uravnavanje kislosti (citronska kislina), arome, barvila (anato norbiksin, kurkumin), antioksidant (askorbinska kislina), izvleček pomarančnega cveta.|0,45l|264,00|14,00 g|8,70 g|31,00 g|28,00 g|0,0 g|3,10 g|0,11 g
ZLATE ZVEZDE|dekor narejen iz modificiranega celuloznega derivata.|1g|27,00|3,00 g|3,00 g|0,10 g|0,10 g|0,10 g|0,10 g|0,10 g
SLADKOR DECOR ČEBELE|sladkor 80,88 %, glukozni sirup 6,88 %, JAJČNI BELI PRAH 3,00 %, koruzni škrob 2,93 %, voda 2,91 %, ksantan gumi (e415) 1,22 %, arabski gumi (e414) 0,93 %, maltodekstrin 0,84 %, tartarjeva krema (e336) 0,25 %, želatina (e441) 0,13 %, bio oglje (e153) 0,01 %, beta karoten (e160a) 0,01 %, titanov dioksid (e171) 0,01 %.|12g|385,00|0,40 g|0,40 g|94,00 g|84,00 g|0,0 g|1,40 g|0,00 g
Mešanica praženih oreškov in sušenih sladkanih brusnic|30% sušene, sladkane brusnice, sladkor, sončnično olje, PRAŽENI ARAŠIDI, PRAŽENI INDIJSKI OREŠČKI, PRAŽENI MANDLJI, LAHKO VSEBUJE SLEDI DRUGIH OREŠČKOV.|150g|546,00|37,00 g|5,10 g|34,00 g|23,00 g|7,40 g|16,00 g|0,02 g
"RIŽ MLEČNI PISTACIJA MÜLLER 200G
Mlečni rižev desert s pripravkom z okusom pistacije"|POLNO MLEKO, PINJENEC, voda, sladkor, riž, PASTA IZ PISTACIJ, CELO JAJCE, dekstroza, sol, gostilo: guar gumi, gumi iz zrn rožičevca, barvilo: E141, E160a, karamelni sladkorni sirup, aroma, LAHKO VSEBUJE SLEDI OSTALIH OREŠKOV.|200g|108,00|2,40 g|1,50 g|18,30 g|12,50 g|0,0 g|3,20 g|0,25 g
"SIROVA ŠTRUČKA SPAR, 2X80G
Pšenično belo pekovsko pecivo s sirom."|PŠENIČNA MOKA 59,10 %, GOUDA (18%) (PASTERIZIRANO MLEKO, SOL, BARVILO: KAROTEN) 19,40 %, voda 17,20 %, sol 2,00 %, kvas 2,00 %, invertni sladkorjev sirup 2,00 %, moka pšeničnega sladu 2,00 %, sredstvo za zgostitev (e412) 2,00 %, emulgator (e472e) 2,00 %.|160g|291,00|7,10 g|4,80 g|42,00 g|3,40 g|4,60 g|12,00 g|1,50 g
"ŠTRUČKA S SEMENI
Pšenično mešano pekovsko pecivo s semeni 14%."|PŠENIČNA MOKA 53,00 %, voda 22,70 %, sončnična semena 6,70 %, OVSENI KOSMIČI 3,20 %, RŽENA MOKA 2,80 %, makova semena 2,80 %, lanena semena 2,70 %, SEZAM 1,90 %, kvas 2,00 %, sol 2,00 %, RŽENI KOSMIČI 2,00 %, sredstvo za zgostitev (e412) 2,00 %, PRAŽENA MOKA PŠENIČNEGA SLADU 2,00 %, IZVLEČEK SLADA (JEČMENOV SLAD, VODA) 2,00 %, emulgator (e472e) 2,00 %, PŠENIČNI OTROBI 2,00 %.|320g|283,00|7,50 g|0,90 g|42,50 g|2,70 g|4,60 g|9,60 g|1,20 g
Kis jabolčni štajerski s 5 % kislosti|jabolčni kis 5%, ANTIOKSIDANT: KALIJEV METABISULFIT.|0,5l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Spar Skyr, Sveži sir iz pasteriziranega posnetega mleka. Visoka vsebnost beljakovin. Brez maščob.|PASTERIZIRANO POSNETO MLEKO.|500g|62,00|0,20 g|0,00 g|4,00 g|4,00 g|0,0 g|11,00 g|0,08 g
KREM SLADOLED Z BOROVNICAMI (36,8 %), KREM SLADOLED S SVEŽIM KREMNIM SIROM MASCARPONE (36,9 %), Z BELO ČOKOLADO* (12,8 %) IN BOROVNIČEVIM PRELIVOM Z BALZAMIČNIM KISOM (12,8 %) V PLASTEH, POSUTO Z LIOFILIZIRANIMI KOŠČKI BOROVNIC (0,7 %). *VSEBUJE RASTLINSKE MAŠČOBE POLEG KAKAVOVEGA MASLA.|REKONSTITUIRANO POSNETO MLEKO, sladkor, SMETANA (MLEKO), borovničeva kaša 4,50 %, glukozni sirup, kakavovo maslo, borovničev sok iz zgoščenega soka 3,80 %, voda, SIROTKA V PRAHU (MLEKO), POSNETO MLEKO V PRAHU, POLNOMASTNO MLEKO V PRAHU, SVEŽI KREMNI SIR MASCARPONE (0,9 %) (SMETANA (MLEKO), SREDSTVO ZA URAVNAVANJE KISLOSTI: CITRONSKA KISLINA), 0,90 %, borovnice 0,90 %, koščki liofiliziranih borovnic 0,70 %, ANHIDRIDNA MLEČNA MAŠČOBA, kokosovo olje, EMULGATORJI (MONO- IN DIGLICERIDI MAŠČOBNIH KISLIN, LECITINI (SOJA), POLIGLICEROL POLIRICINOLEAT), modificirani škrob, sredstva za uravnavanje kislosti (citronska kislina, natrijevi citrati), barvilo (antocianini), zgoščeni sok rdeče pese, stabilizatorji (guar gumi, gumi iz zrn rožičevca, kalcijev laktat, kalcijev glukonat), balzamični kis (vinski kis, kuhan grozdni mošt), sredstvo za zgostitev (pektini), arome.|0,45l|255,00|13,00 g|8,70 g|31,00 g|28,00 g|0,0 g|2,30 g|0,10 g
KREM SLADOLED Z OKUSOM VANILJE S KAKAVOVIM PRELIVOM (12,8 %) IN ZDROBLJENIMI KAKAVOVIMI KEKSI (6,4 %) S KREMO OKUSA VANILJE (2,2 %).|REKONSTITUIRANO POSNETO MLEKO, SMETANA, sladkor, glukozni sirup, voda, PŠENIČNA BELA MOKA, POSNETO MLEKO V PRAHU, SIROTKA V PRAHU (MLEKO), manj masten kakavov prah 1,80 %, sončnično olje, dekstroza, kokosovo olje, maltodekstrin, emulgatorji (mono- in digliceridi maščobnih kislin, lecitini (sončnica)), stabilizatorji (guar gumi, gumi iz zrn rožičevca), arome, sredstva za vzhajanje (amonijevi karbonati, natrijevi karbonati), sol, PŠENIČNI ŠKROB.|0,45l|238,00|11,00 g|6,50 g|31,00 g|25,00 g|0,0 g|3,20 g|0,19 g
KREM SLADOLED Z OKUSOM VANILJE IN KARDAMOMOM, S PRELIVOM Z MEDOM (12,5 %) IN KOŠČKI KARAMELIZIRANIH AMERIŠKIH OREHOV (8,6 %).|REKONSTITUIRANO POSNETO MLEKO, SMETANA (MLEKO), sladkor, AMERIŠKI OREHI 6,00 %, voda, glukozni sirup, med 3,70 %, SIROTKA V PRAHU (MLEKO), POSNETO MLEKO V PRAHU, dekstroza, emulgator (mono- in digliceridi maščobnih kislin), stabilizatorji (guar gumi, gumi iz zrn rožičevca), modificirani škrob, karamela (sladkor, voda), želirno sredstvo (pektini), izvleček vanilje, naravna aroma vanilje, delci ekstrahiranega vaniljevega stroka, mleti kardamom 0,02 %, sol.|0,45l|241,00|13,00 g|5,90 g|28,00 g|25,00 g|0,0 g|3,00 g|0,10 g
SLADOLED Z OKUSOM ČOKOLADE Z VISOKO VSEBNOSTJO BELJAKOVIN (38 %) IN SLADOLED Z OKUSOM ARAŠIDOV Z VISOKO VSEBNOSTJO BELJAKOVIN (38 %), Z MLEČNO ČOKOLADO (11 %), PRELIVOM Z ARAŠIDI (11 %) IN KOŠČKI PRAŽENIH ARAŠIDOV (2 %). S SLADILI.|voda, polidekstroza, MLEČNE BELJAKOVINE, sladilo: eritritol; kokosovo olje, JAJČNI BELJAK V PRAHU, sladilo: ksilitol; sladilo: maltitol; kakavovo maslo, ARAŠIDI 2,00 %, ARAŠIDOVA PASTA 1,50 %, POSNETO MLEKO V PRAHU, kakavova masa, POLNOMASTNO MLEKO V PRAHU, manj masten kakavov prah 0,50 %, emulgatorji: mono- in digliceridi maščobnih kislin, lecitini (sončnica), poliglicerol poliricinoleat; ANHIDRIDNA MLEČNA MAŠČOBA, arome, barvilo: karamel; modificirani škrob, sol, sredstvo za zgostitev: karagenan; sladilo: steviol glikozidi; izvleček vanilje.|0,48l|172,00|10,00 g|6,70 g|15,00 g|2,20 g|0,0 g|10,00 g|0,28 g
SLADOLED Z OKUSOM MALINE Z VISOKO VSEBNOSTJO BELJAKOVIN (38,4 %) IN SLADOLED Z OKUSOM SKUTNE TORTE Z VISOKO VSEBNOSTJO BELJAKOVIN (38,3 %), Z BELO ČOKOLADO (11,3 %), MALINOVIM PRELIVOM (11,3 %) IN DELCI LIOFILIZIRANIH MALIN (0,7 %). S SLADILI.|voda, MLEČNE BELJAKOVINE, oligofruktozni sirup, kokosovo olje, sladilo: maltitoli, kakavovo maslo, sladilo: ksilitol; polidekstroza, JAJČNI BELJAK V PRAHU, sladilo: eritritol; malinova kaša 2,20 %, POLNOMASTNO MLEKO V PRAHU, POSNETO MLEKO V PRAHU, delci liofiliziranih malin 0,70 %, malinov sok iz zgoščenega soka 0,50 %, emulgatorji: mono- in digliceridi maščobnih kislin, lecitini (sončnica); MASLENO OLJE, zgoščeni sok črnega korena, stabilizatorji: gumi iz zrn rožičevca, guar gumi; arome, sredstva za zgostitev: pektini, ksantan gumi; zgoščeni limonin sok, kislina: citronska kislina; sladilo: steviol glikozidi.|0,48l|168,00|9,20 g|6,90 g|15,00 g|3,20 g|0,0 g|9,20 g|0,22 g
SLADOLED Z OKUSOM ČOKOLADE* (93,1%) Z VISOKO VSEBNOSTJO BELJAKOVIN S KAKAVOVIM OBLIVOM* (4,3%) IN Z DELCI PRAŽENIH KAKAVOVIH ZRN (2,6%). *S sladili.|voda, MLEČNE BELJAKOVINE, kokosovo olje, sladilo: maltitol sirup, JAJČNI BELJAK V PRAHU, sladilo: eritritol; pražena zdrobljena kakavova zrna 2,60 %, manj masten kakavov prah 2,00 %, sladilo: maltitol; maltodekstrin, inulin, emulgatorji: mono- in digliceridi maščobnih kislin, LECITINI (SOJA); stabilizatorji: gumi iz zrn rožičevca, guar gumi; arome, sladilo: steviol glikozidi.|0,28l|161,00|9,20 g|7,80 g|13,00 g|1,00 g|0,0 g|12,00 g|0,13 g
Maslo z grobo morsko soljo, 80% mlečne maščobe.|MASLO, morska sol 2,6 %.|250g|726,00|80,00 g|57,00 g|0,70 g|0,70 g|0,0 g|0,80 g|2,60 g
DIMLJENE PIŠČANČJE PRSI narezek 100g. Pasterizirane mesnine, konzervirano piščančje meso.|piščančje meso, voda, kuhinjska sol, dekstroza, stabilizatorji, arome, repično olje, ekstrakti začimb, konzervansi.|100g|85,00|1,30 g|0,30 g|1,10 g|0,50 g|0,0 g|18,00 g|1,80 g
ŽVEČILNI GUMI S SLADILI IN OKUSOM JAGODE|sladila (ksilitol, sorbitol, maltitol sirup, mannitol, aspartame, kalijev acesulfam), gumijeva baza, kisline (jabolčna, vinska, citronska), stabilizator (glycerol), arome, maltodektrin, škrob, kokosova maščoba, emulgator (sojin lecithin, saharozni estri maščobnih kislin), jagodni sok v prahu (0,2%).|30g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Osvežilna brezalkoholna gazirana pijača z nizko energijsko vrednostjo z naravno mineralno vodo in okusom robidnice in limete.|naravna mineralna voda, fruktoza, ogljikov dioksid, sok limete iz zgoščenega soka limete 1,00 %, izvleček robidnice 1,00 %, kislina: citronska kislina, naravne arome, antioksidant: askorbinska kislina.|0,5l|15,00|0,00 g|0,00 g|3,60 g|3,60 g|0,0 g|0,00 g|0,00 g
Osvežilna gazirana brezalkoholna energijska pijača z okusom manga, s tavrinom, kofeinom ter dodanimi B vitamini.|voda, sladkor, ogljikov dioksid, tavrin 0,40 %, kislina (citronska kislina), sredstvo za uravnavanje kislosti (natrijevi citrati), arome (vključno z aromo manga), konzervansa (kalijev sorbat, natrijev benzoat), kofein 0,03 %, barvilo (karoteni), vitamini (niacin (b3), pantotenska kislina (b5), b6, b12), inozitol.|0,25l|51,00|0,00 g|0,00 g|13,00 g|12,00 g|0,0 g|0,00 g|0,12 g
BIO INDIJSKI OREŠČKI|BIO INDIJSKI OREŠČKI.|300g|578,00|42,00 g|9,40 g|31,00 g|14,00 g|2,90 g|18,00 g|0,04 g
Osvežilna gazirana brezalkoholna pijača z okusom kole in limete, s sladili, brez energijske vrednosti, brez sladkorjev.|voda, ogljikov dioksid, barvilo: E150 d, kislini: citronska kislina in fosforjeva (v) kislina, aroma: kofein in naravna aroma, sladili: aspartam in acesulfam k, sredstvo za uravnavanje kislosti: natrijevi citrati.|1,5l|1,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,03 g
Osvežilna gazirana brezalkoholna pijača z okusom kole in limete, s sladili, brez energijske vrednosti, brez sladkorjev.|voda, ogljikov dioksid, barvilo: E150d, kislini: citronska kislina in fosforjeva (v) kislina, aroma: kofein in naravna aroma, sladili: aspartam in acesulfam k, sredstvo za uravnavanje kislosti: natrijevi citrati.|0,5l|1,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,03 g
ŽVEČLJIVI SADNI BONBONI, MAMBA DUO, 106G|glukozni sirup, sladkor, palmova maščoba, sredstvo za ohranjanje vlage: sirup sorbitola, modificirani škrob, kislina: citronska kislina, arome, koncentrat za barvanje: črno korenje, emulgator: E435, barvilni izvleček kurkume, antioksidant: alfa tokoferol.|106g|389,00|5,40 g|3,00 g|85,40 g|49,00 g|0,0 g|0,10 g|0,02 g
ČOKOLADNE KROGLICE MALTESERS, 175G|sladkor, POSNETO MLEKO V PRAHU, kakavovo maslo, glukozni sirup, JEČMENOV SLADNI EKSTRAKT, kakavova masa, MLEČNA MAŠČOBA, MLEČNI SLADKOR, SIROTKA V PRAHU (IZ MLEKA), palmova maščoba, olje palminih koščic, EMULGATOR (SOJIN LECITIN), PŠENIČNA MOKA, sredstva za vzhajanje ( E341, E500, E501 ), PŠENIČNI GLUTEN, sredstvo za glaziranje (pektini), jedilna sol.|175g|500,00|24,00 g|15,00 g|62,00 g|53,00 g|0,0 g|8,20 g|0,39 g
FEVER TREE MEDITERRANEAN TONIC 4X0,2L|izvirska voda, trsni sladkor, citronska kislina, naravne arome, naravni kinin.|0,8l|36,00|0,00 g|0,00 g|9,00 g|7,40 g|0,0 g|0,00 g|0,00 g
FEVER TREE, PREMIUM INDIAN TONIC 4X0,2L|naravni kinin, trsni sladkor, izvirska voda, citronska kislina, naravne arome.|0,8l|28,00|0,00 g|0,00 g|7,10 g|7,10 g|0,0 g|0,00 g|0,00 g
Fini pekovski izdelek. Vafelj izdelek z mlečno kremo (81%).|sladkor, rastlinska maščoba (palma, shea), PŠENIČNA MOKA, POSNETO MLEKO V PRAHU 6,00 %, POLNOMASTNO MLEKO V PRAHU 5,00 %, manj masten kakavov prah 1,00 %, jedilna sol, sredstvo za uravnavanje kislosti E500, aroma, EMULGATOR SOJIN LECITIN.|250g|557,00|33,00 g|17,00 g|60,00 g|40,00 g|0,0 g|5,00 g|0,35 g
DANA SMOOTHIE 100% - Smoothie jabolko, jagoda, banana, pomaranča, korenje.|kaša jagode 30,00 %, kaša banane 23,00 %, jabolčni sok 21,00 %, pomarančni sok 13,00 %, jabolčna kaša 10,00 %, korenčkov sok 3,00 %.|0,25l|52,00|0,30 g|0,04 g|12,40 g|10,80 g|1,10 g|0,60 g|0,01 g
Dana smoothie 100 % - Smoothie jabolko, banana, pomaranča, mango, marakuja, bogat z vitaminom C.|jabolčni sok 42,00 %, bananina kaša 23,00 %, pomarančni sok 20,00 %, kaša manga 10,00 %, sok marakuje 5,00 %.|0,25l|60,00|0,20 g|0,04 g|13,70 g|13,20 g|0,60 g|0,50 g|0,01 g
Zmes za palačinke iz pšenične moke 600g|PŠENIČNA BELA MOKA 74%, JAJCA V PRAHU 15%, MLEKO V PRAHU 10%, jedilna sol, sladkor, sredstvi za vzhajanje: natrijevi karbonati, difosfati.|600g|397,00|9,40 g|3,70 g|59,60 g|8,00 g|3,30 g|16,80 g|1,30 g
Hrustljav vafelj z mlečnim (36%) in kakavovim (36%) polnilom.|sladkor, rastlinske maščobe (palma,shea), PŠENIČNA MOKA (8,5%), POLNOMASTNO MLEKO V PRAHU (7,5%), manjmasten kakav (5%), POSNETO MLEKO V PRAHU (4,5%), LEŠNIKI, SIROTKA V PRAHU, čokolada (sladkor, kakavova masa, kakavovo maslo, EMULGATOR: LECITINI (SOJA)).|103g|593,00|38,60 g|17,60 g|53,60 g|45,10 g|0,0 g|6,70 g|0,26 g
Bonboni iz bele čokolade z mlečnim polnilom (42,5%) in lešniki.|BELA ČOKOLADA 50,5% (POSNETO MLEKO V PRAHU, kakavovo maslo, sladkor, MLEČNA MAŠČOBA, EMULGATOR: LECITINI (SOJA), vanilin), sladkor, POSNETO MLEKO V PRAHU (13,5%), palmovo olje, LEŠNIKI (5,8%), MLEČNA MAŠČOBA, sredstva za glaziranje (gumi arabicum, šelak), glukozni sirup, EMULGATOR: LECITINI (SOJA), aroma, vanilin.|200g|577,00|38,30 g|22,50 g|47,30 g|47,20 g|0,0 g|10,30 g|0,38 g
Ječmenova kaša instantirana|JEČMENOVA KAŠA.|250g|310,00|1,60 g|0,30 g|64,30 g|1,70 g|0,0 g|9,00 g|0,04 g
Pira instant|PIRA.|250g|320,00|1,90 g|0,40 g|60,00 g|1,70 g|0,0 g|15,00 g|0,02 g
Grahov flips z morsko soljo|grahova moka 66,00 %, sončnično olje, koruzna moka, riževa moka, naravna aroma, morska sol.|50g|426,00|12,00 g|1,80 g|56,00 g|2,00 g|7,00 g|20,00 g|2,00 g
Grahov flips s smetano in čebulo|grahova moka 66,00 %, sončnično olje, koruzna moka, riževa moka, naravna aroma [od tega smetana v prahu (mleko) ], čebula, drobnjak, morska sol.|50g|422,00|12,00 g|1,90 g|56,00 g|2,80 g|7,00 g|19,00 g|2,00 g
Grahov flips s paradižnikom in baziliko|grahova moka 66,00 %, sončnično olje, koruzna moka, riževa moka, naravna aroma, paradižnik, bazilika, morska sol.|50g|422,00|12,00 g|1,90 g|56,00 g|3,10 g|7,00 g|19,00 g|1,90 g
Jedilno rafinirano repično olje|jedilno rafinirano repično olje.|1l|828,00|92,00 g|8,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Tanki riževi krekerji z okusom sira|riževa moka 76,00 %, olje riževih otrobov 9,80 %, sir v prahu 3,00 %, jedilna sol, koruzni maltodekstrin, SMETANA V PRAHU, trsni sladkor, MLEČNI PROTEINI, zgoščen sirov pripravek, naravne arome.|70g|445,00|12,00 g|3,20 g|76,00 g|3,30 g|0,0 g|7,80 g|1,30 g
"¨Prigrizek iz datljev (45%), lešnikov (15%), indijskih oreškov (14%), kakava (10%)
¨"|koščki datljev, datljeva kaša, KAŠA PRAŽENIH LEŠNIKOV, kakav v prahu, rižev škrob, zgoščen sok grenivke, KAŠA PRAŽENIH INDIJSKIH OREŠKOV, KOŠČKI PRAŽENIH INDIJSKIH OREŠKOV, KOŠČKI PRAŽENIH INDIJSKIH OREŠKOV.|40g|403,00|18,00 g|2,80 g|48,00 g|43,00 g|7,90 g|8,30 g|0,03 g
Prigrizek iz datljev (48%), indijskih oreškov (21%), mandljev (12,9%), vaniljeva aroma.|koščki datljev, datljeva kaša, KAŠA IZ PRAŽENIH INDIJSKIH OREŠKOV, KOŠČKI PRAŽENIH MANDLJEV, rižev škrob, zgoščen grenivkin sok, KOŠČKI PRAŽENIH INDIJSKIH OREŠKOV, KAŠA IZ PRAŽENIH MANDLJEV, chia semena (salvia hispanica) 2,00 %, naravna aroma.|40g|405,00|18,00 g|2,60 g|50,00 g|45,00 g|4,30 g|8,60 g|0,03 g
